brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Milky Food Professional,6111246721261,b,"Ferments lactiques, Présure, Sel.",['en:plastic'],,Fromage Blanc Nature
سيدي علي,6111035000430,not-applicable,OBD1 999 999 1112606 266963207 mb,"['en:plastic', 'en:bottle']",,Sidi Ali
Jaouda,6111242100992,b,"milk cream, cream, sugar, banana, bacteria",['en:plastic'],,Perly
sidi ali,6111035000058,not-applicable,100% mineral water,"['en:plastic', 'en:bottle-or-vial', 'en:bottle']",,Eau minérale naturelle
Jaouda,6111242106949,d,"lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%",['en:plastic'],,Jben
AQUAFINA,6111252421568,not-applicable,ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,"['en:plastic', 'en:bottle']",,اكوافينا
Coca-Cola,5449000054227,not-applicable,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).","['en:plastic', 'en:pe-7-polyethylene', 'en:bottle-or-vial', 'en:hdpe-2-high-density-polyethylene', 'en:pet-1-polyethylene-terephthalate', 'en:bottle', 'fr:bouchon-en-plastique', 'it:bottiglia-pet', 'pt:pet-bottle', 'pt:pp-lid', 'pt:stuck']",,Coca Cola Original Taste
Gerblé,3175680011480,c,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).

Fabriqué dans un atelier qui utilise des fruits à coque, du lait, du lupin, de la moutarde, des oeufs et du soja","['en:plastic', 'en:cardboard']","carton, plastique",Sésame
"Ferrero,Nutella",3017620422003,unknown,"Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.","['en:plastic', 'fr:pot-en-verre']","1 couvercle en plastique blanc opaque PP à recycler
1 plaque en carton PAP 21 à recycler
1 opercule en carton C/PAP 82 à recycler
1 pot en verre à recycler",Nutella
Ferrero,3017620425035,unknown,"Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten","['en:composite-material', 'en:plastic', 'en:cardboard', 'en:glass', 'en:pp-5-polypropylene', 'en:clear-glass', 'en:non-corrugated-cardboard', 'en:paper-and-fibreboard-aluminium', 'xx:82-c-pap', 'en:bocal']","1 couvercle en plastique blanc opaque PP à recycler
1 plaque en carton PAP 21 à recycler
1 opercule en carton C/PAP 82 à recycler
1 pot en verre à recycler",Nutella
